Star,X_tsne_teffcut40,Y_tsne_teffcut40,tsne_class_teffcut40,outer_cluster_teffcut40,tsne_class_teffcut40_simple,outer_cluster_teffcut40_simple,X_tsne_teffcut40_errlim_mc,Y_tsne_teffcut40_errlim_mc,tsne_class_errlim_mc,outer_cluster_teffcut40_errlim_mc,X_tsne_teffcut40_nofeh_mc,Y_tsne_teffcut40_nofeh_mc,X_tsne_teffcut40_mc,Y_tsne_teffcut40_mc,tsne_class_mc,outer_cluster_teffcut40_mc,cluster,X_tsne_teffcut40_old,Y_tsne_teffcut40_old,X_tsne_teffcut40_errlim_mc_old,Y_tsne_teffcut40_errlim_mc_old,tsne_class_errlim_mc_old,_RAJ2000,_DEJ2000,GLON,GLAT,RV_Adi,Teff,erTeff,erTeff_ext,logg,erlogg,logg_hip,erlogg_hip,logg_SH,erlogg_SH,feh,erfeh,zh,erzh,vt_1,ervt,logg_cor,S/N,class,CuFe,errCu,nCu,ZnFe,errZn,nZn,SrFe,errSr,nSr,YFe,errY,nY,ZrIFe,errZrI,nZrI,ZrIIFe,errZrII,nZrII,BaFe,errBa,nBa,CeFe,errCe,nCe,NdFe,errNd,nNd,EuFe,errEu,nEu,AlFe,errAl,nAl,MgFe,errMg,nMg,SiFe,errSi,nSi,CaFe,errCa,nCa,TiIFe,errTiI,nTiI,TiIIFe,errTiII,nTiII,Teff_T13,logg_T13,[Fe/H]_T13,vtur_T13,[C/H]_SA17,e_[C/H]_SA17,[O/H]_6158_BdL15,e_[O/H]_6158_BdL15,Ulsr,Vlsr,Wlsr,popB,popR,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,G_err,HIP,Plx,e_Plx,Hpmag,pmRA_hip,e_pmRA_hip,pmDE_hip,e_pmDE_hip,parallax_SH,parallax_error_SH,pmRA_FA,e_pmRA_FA,pmDE_FA,e_pmDE_FA,dist_FA,e_dist_FA,2MASS,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Vmag,e_Vmag,eV,Bmag,e_Bmag,eB,gpmag,e_gpmag,eg,rpmag,e_rpmag,er,ipmag,e_ipmag,ei,BTmag,e_BTmag,VTmag,e_VTmag,age05,age16,age50,age84,age95,meanage,agestd,mass05,mass16,mass50,mass84,mass95,meanmass,massstd,dist05,dist16,dist50,dist84,dist95,meandist,diststd,AV05,AV16,AV50,AV84,AV95,meanAV,AVstd,nummodels,[Fe/H]_C11,[a/Fe]_C11,RV_C11,age_C2011,RV_AMBRE,ERR_RV_AMBRE,rb,rb_err,ID,Xg,Xg_sig,Yg,Yg_sig,Zg,Zg_sig,Rg,Rg_sig,Phig,Phig_deg,vT,vT_sig,vXg,vXg_sig,vYg,vYg_sig,vZg,vZg_sig,vRg,vRg_sig,vPhig,vPhig_sig,vcirc_g,vcirc_c,Lz,Lz_sig,Ez,E,Ec,Rc,Rc_sig,ecc,zmax,rperi,rap,JR_st_m,JR_st_L,JR_st_U,JPhi_st_m,JPhi_st_L,JPhi_st_U,JZ_st_m,JZ_st_L,JZ_st_U,vXg_minus,YMg,AlMg,YAl,SrBa,ZrBa,CFe,CO,sqrt_Vxg_Vzg,MgY,BaY,Rg_Rc,Rc_rb,sqrt_errY_errMg,sqrt_errAl_errMg,sqrt_errY_errAl,sqrt_errSr_errBa,sqrt_errZrII_errBa,sqrt_errCH_errfeh,sqrt_errCH_errOH,sqrt_vXg_sig_vZg_sig,sqrt_errY_errBa,sqrt_Rg_sig_Rc_sig,sqrt_rb_err_Rc_sig,abs_JR_st_U_JR_st_L,abs_JZ_st_U_JZ_st_L
BD-050578,-8.08469,3.18155,thin,,thin,Thin Disc,-5.53507,0.862815,thin,Thin Disc,-3.24634,-2.26253,-11.8016,-0.861884,thin,Thin Disc,Thin Disc,-8.04089,3.4958,-5.55801,1.23496,thin,46.70341,-4.80852,184.3157667945196,-50.78764028400792,25.2367,5470,29,30,4.39,0.07,4.71,0.11,4.71,0.10999999940395357,0.09,0.02,0.0850000036880374,0.03577708684031641,0.79,0.04,4.43,70,thin,0.03,0.04,4,-0.04,0.05,3,0.04,0.14,1,-0.05,0.05,6,0.06,0.12,3,0.05,0.04,4,-0.06,0.03,3,-0.01,0.1,4,-0.09,0.05,2,9.99,9.99,0,0.04,0.02,2,-0.03,0.01,3,-0,0.03,14,-0.01,0.06,12,0.02,0.03,22,-0.07,0.06,5,5470,4.39,0.09,0.79,0.036,0.13,NA,NA,-6,4,-11,thin,thin,5182748718394417e3,16.61,0.29,14.321,0.114,-18.773,0.089,8.981,0.03,14475,20.6,1.54,9.3779,23.55,2.42,-17.16,2.12,16.61,0.29,14.321,0.114,-18.773,0.089,0.0601401304443,9.75968158432e-4,03064880-0448307,7.892,7.607,7.506,0.018,0.047,0.02,9.319,0.12,0.119999997317791,9.979,0.045,0.04500000178813934,9.515,0,0.1,9.029,0.088,0.08799999952316284,8.887,0.096,0.09600000083446504,10.09,0.042,9.346,0.032,1.72610321191,3.07517327489,5.26111459018,7.14247723024,8.45422847667,5.17326811107,2.06137382049,0.890445299543,0.900970813775,0.923900954424,0.948817795099,0.965035732839,0.925055867854,0.0231803958939,0.0586604878957,0.0591304674204,0.0601397141592,0.0610739956408,0.0616954042983,0.0601401304443,9.75968158432e-4,-0.119002120748,-0.0949381643997,-0.0601688704476,-0.0111794291043,0.0156989137807,-0.0556877386349,0.0397881017891,9029,NA,NA,NA,NA,36.5692,0.0052,NA,NA,BD-050578,8.337991,6.152541e-4,-0.0028611524,4.6431454e-5,-0.032533046,7.5618806e-4,8.3379135,0.00123054,6.282842,179.99017,6.73187,0.112829015,4.209301,0.09519934,224.33505,0.14133269,-12.380127,0.096928574,4.132321,0.09519935,224.33649,0.14133267,219.89856,219.4584,1.0243692,6.628269e-4,-1.3671557,-0.84707373,-1.3687953,8.502264,0.005501463,0.024869163,0.030666843,1.0044581,1.0556922,4.237919e-4,3.99271e-4,4.4913252e-4,1.0243692,1.0235728,1.0251658,0.0010845191,0.0010731121,0.0010964094,-4.209301,-0.020000000000000004,0.07,-0.09,0.1,0.11,-0.054,NA,13.076152318045626,0.020000000000000004,-0.009999999999999995,-0.1643504999999994,NA,0.050990195135927854,0.022360679774997897,0.05385164807134505,0.14317821063276354,0.05,0.13152946437965907,NA,0.13586045338548328,0.05830951894845301,0.005637403997583373,NA,2.493076000000002e-5,1.1648649999999958e-5
BD-082534,19.5223,-5.85752,thick1,,thick1,Thick Disc I,18.2242,-2.70634,thick1,Thick Disc,9.70624,1.99864,36.3041,4.55277,thick1,Thick Disc I,Thick Disc I,19.9726,-5.77766,18.8089,-3.38837,thick1,134.32026,-9.46305,237.29797010542643,22.532534433765736,110.05,5405,29,30,4.43,0.04,4.48,0.12,4.48,0.119999997317791,-0.78,0.02,-0.5424999743700027,0.04578209232688118,0.41,0.1,4.48,121,thick,-0.07,0.03,3,0.11,0.04,3,-0.14,0.08,1,-0.11,0.08,6,0.64,0.2,1,0.14,0.05,4,-0.06,0.05,3,-0.05,0.04,4,9.99,9.99,0,9.99,9.99,0,0.12,0.08,2,0.26,0.04,3,0.18,0.05,14,0.26,0.07,12,0.25,0.04,22,0.2,0.03,5,5405,4.43,-0.78,0.41,-0.76,0.12,NA,NA,-59,-98,-20,thick,thick,5749656054682119e3,16.38,0.21,-221.607,0.219,-158.484,0.106,9.281,0.03,43973,17.06,1.38,9.6566,-221.86,1.55,-158.12,0.74,16.38,0.21,-221.607,0.219,-158.484,0.106,0.0603120100884,0.00108104227349,08571688-0927469,8.235,7.898,7.779,0.027,0.034,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.32,0.028,9.583,0.021,11.287149762,12.2582848639,13.010851912,13.1198332316,13.1198332316,12.5902484907,1.57755258918,0.721477891151,0.724424713353,0.738158090796,0.75287277768,0.753990134669,0.739246491454,0.0125286176464,0.0588574210517,0.0592607741117,0.0600538062099,0.0617985342641,0.061847983028,0.0603120100884,0.00108104227349,-0.260621288787,-0.232809868223,-0.159671030941,-0.0547158063991,-0.0305530679372,-0.149167983934,0.0773546728871,8716,NA,NA,NA,NA,110.0552,0.0032,5.517,5.595,BD-082534,8.330058,5.394693e-4,-0.046877746,8.4024435e-4,0.037162777,4.1426404e-4,8.330229,0.0010883784,6.277558,179.83879,77.89808,1.3972977,58.975063,0.29445437,120.966156,0.47148693,-22.51813,1.2949556,58.293396,0.29446167,121.29612,0.47148237,219.91913,224.55322,0.553354,0.0021521216,-1.3644047,-1.177309,-1.3697165,4.5928383,0.01786261,0.43963677,0.28403705,0.4044104,1.0389762,0.09548423,0.09614264,0.09481253,0.553354,0.5511311,0.5555775,0.04521951,0.045447025,0.045025643,-58.975063,-0.37,-0.14,-0.22999999999999998,-0.08000000000000002,0.2,0.020000000000000018,NA,63.12784040778576,0.37,0.05,3.737390699999999,-0.9241617,0.08944271909999159,0.08944271909999159,0.1131370849898476,0.09433981132056604,0.07071067811865477,0.1216552506059644,NA,1.3280110624476955,0.09433981132056604,0.017895737021807363,5.595028514032436,6.650549999999977e-4,2.1069100000000243e-4
BD-131161,-8.95982,-3.84983,thick4,,thick2,Thick Disc II,-4.28376,-5.00806,thick4,Metal-rich Thick Disc,4.00915,3.1863,-10.3912,7.09298,thick4,Inner Disc II,Inner Disc II,-14.1952,-3.86832,-4.15271,-4.04144,thick4,82.20141,-13.54235,216.20410171949396,-24.332076716374647,40.3025,5389,26,30,4.37,0.05,4.54,0.1,4.54,0.10000000149011612,0.09,0.02,0.10000000335276128,0.04418144355339753,0.68,0.05,4.43,106,thin,0.05,0.06,4,-0.03,0.03,3,0.13,0.1,1,-0.01,0.04,6,-0.05,0.14,3,0.09,0.05,4,-0.06,0.04,3,0.05,0.06,4,-0.04,0.09,2,9.99,9.99,0,0.36,0.36,2,0.04,0.04,3,-0.01,0.04,14,-0.02,0.07,12,0.03,0.04,22,0.02,0.03,5,5389,4.37,0.09,0.68,0.12,0.12,0.4,0.44,7,-51,0,thin,thin,2985485059404099e3,17.53,0.26,114.512,0.088,-158.002,0.089,8.926,0.03,25654,18.69,1.32,9.335,114.56,0.93,-160.85,1.06,17.53,0.26,114.512,0.088,-158.002,0.089,0.0569930024298,8.26181168325e-4,05284832-1332324,7.845,7.506,7.355,0.024,0.059,0.029,9.169,0,0.1,10.016,0.016,0.01600000075995922,9.881,0.282,0.28200000524520874,8.947,0,0.1,8.752,0,0.1,10.188,0.03,9.274,0.02,4.93032769467,6.28776524804,8.96730883523,11.2164867572,12.3068924699,8.73623482857,2.29916177915,0.84543052956,0.859876196796,0.888042030367,0.911429359814,0.936585440614,0.888025023821,0.0260075131195,0.0557664206964,0.0561808154465,0.0568674197208,0.0578466626901,0.0584009605616,0.0569930024298,8.26181168325e-4,-0.0506000368913,-0.0293627279529,0.00835811275967,0.0424684786927,0.0686901391858,0.00767820587667,0.0349292875018,9813,NA,NA,NA,NA,40.308,0.0028,NA,NA,BD-131161,8.341943,6.0744287e-4,-0.03067343,4.4464774e-4,-0.009411802,3.4040693e-4,8.34196,0.0012181475,6.279508,179.89467,52.722862,0.7646557,-8.287491,0.399426,166.27109,0.6476734,0.62322795,0.1672296,-8.898811,0.39943042,166.23949,0.6476707,219.88773,224.74422,0.7594541,0.0029609185,-1.3683017,-1.0819924,-1.3683106,6.303469,0.024575623,0.26459193,0.040469732,0.58495206,1.0058709,0.039150722,0.039945573,0.038359553,0.7594541,0.7563848,0.76252425,0.0018877914,0.0020417608,0.0017387521,8.287491,-0.05,0.32,-0.37,0.19,0.15,0.03,-0.28,8.310891658103973,0.05,-0.049999999999999996,2.0384910000000005,NA,0.0565685424949238,0.36221540552549664,0.36221540552549664,0.1077032961426901,0.06403124237432849,0.1216552506059644,0.45607017003965516,0.4330206329866511,0.0565685424949238,0.02460579462585765,NA,7.930100000000002e-4,1.5150435000000002e-4
BD+083095,22.2368,-5.0082,debris2,,special,,25.2572,4.94294,debris2,,8.11531,15.5572,43.2386,-6.49801,debris2,,Debris candidate,22.6116,-4.51291,24.3195,6.18385,debris2,237.74555,8.42326,17.766381249945777,43.67440623575612,-51.1,5728,41,41,4.12,0.04,3.77,0.65,4.12,0.03999999910593033,-0.77,0.03,-0.48249998688697815,0.08525256515689103,0.85,0.08,4.09,103,thick,-0.35,0.03,2,0.17,0.03,3,0.12,0.11,1,0.13,0.07,6,0.8,0.11,1,0.35,0.1,4,0.12,0.06,3,0.08,0.08,4,0.16,0.06,4,9.99,9.99,0,0.09,0.03,2,0.28,0.05,3,0.23,0.06,14,0.35,0.16,12,0.29,0.09,22,0.27,0.03,5,5728,4.12,-0.77,0.85,-0.76,0.2,NA,NA,-28,-182,34,trans,thick,4454435720848765400,6.22,0.3,-236.997,0.132,-163.232,0.101,9.735,0.03,77637,4.82,2.19,10.0738,-238.21,2.59,-159.94,2.66,6.22,0.3,-236.997,0.132,-163.232,0.101,0.15471051208,0.00264854970667,15505893+0825237,8.75,8.41,8.375,0.021,0.046,0.019,10.042,0.077,0.07699999958276749,10.5,0.018,0.01799999922513961,10.319,0.13,0.12999999523162842,9.779,0,0.1,9.64,0,0.1,10.671,0.053,10.146,0.049,11.4678949073,11.7386217166,12.877259276,13.1594006755,13.1594006755,12.6111437778,0.634549921627,0.850747716939,0.854416999845,0.869979562448,0.896787941555,0.907743925283,0.874070088926,0.0200117751772,0.149337680273,0.153292174898,0.154454113196,0.156957402435,0.158315562876,0.15471051208,0.00264854970667,-0.0937058353441,-0.0782156047531,-0.0556273651148,-0.0385895775673,-0.0272248895829,-0.0583931118643,0.0226695396886,1172,-0.68,0.28,-44.9,12.6,-51.1469,0.0011,NA,NA,BD+083095,8.193258,0.0018242724,0.034144282,5.845293e-4,0.1206569,0.0018289809,8.193509,0.0036436415,0.004167339,0.119385466,211.0618,3.6143732,26.287271,0.19401136,20.582167,3.4390228,38.18738,1.1511348,26.372816,0.1945383,20.472439,3.438993,220.28455,125.043106,0.09186261,0.015431281,-1.370434,-1.3589191,-1.3862807,0.76245964,0.12807964,0.9061069,0.18672025,0.04908248,0.99641454,0.31166837,0.31990573,0.30341306,0.09186261,0.0763974,0.10734155,0.022419842,0.021535132,0.023337342,-26.287271,-0.15000000000000002,-0.19000000000000003,0.04000000000000001,0,0.22999999999999998,0.010000000000000009,NA,46.36050698484477,0.15000000000000002,-0.010000000000000009,7.43104936,NA,0.08602325267042628,0.05830951894845301,0.07615773105863909,0.12529964086141668,0.11661903789690602,0.20223748416156687,NA,1.1673695796876367,0.09219544457292887,0.12813145712864626,NA,0.008246334999999994,9.01105000000001e-4
CD-4512460,22.7682,-5.26151,debris2,,special,,25.3762,5.03322,debris2,,8.09891,15.5571,43.3198,-6.59233,debris2,,Debris candidate,23.1931,-4.65855,24.3403,6.19733,debris2,276.2577,-45.47983,348.98691432897687,-14.677333626297502,108.8,5960,69,69,4.42,0.05,3.33,1.54,4.42,0.05000000074505806,-0.86,0.05,-0.622500017285347,0.08383316778638421,0.75,0.17,4.33,81,thick,-0.48,0.07,2,0.04,0.05,3,0.11,0.38,1,0.2,0.08,6,9.99,9.99,0,0.45,0.07,4,0.31,0.12,3,0.19,0.08,1,9.99,9.99,0,9.99,9.99,0,0.06,0.09,2,0.13,0.07,3,0.2,0.07,14,0.31,0.08,11,0.31,0.11,21,0.25,0.05,5,5960,4.42,-0.86,0.75,-0.95,0.14,NA,NA,70,-159,-76,trans,trans,6709538811067204e3,4.56,0.25,-16.216,0.163,-208.359,0.118,10.728,0.03,90261,1.69,1.84,11.0819,-13.82,2.34,-207.96,1.48,4.56,0.25,-16.216,0.163,-208.359,0.118,0.193405710328,0.00541220147363,18250185-4528472,9.832,9.506,9.429,0.026,0.022,0.019,10.861,0.043,0.0430000014603138,11.427,0.008,0.00800000037997961,11.146,0.021,0.02099999971687793,10.759,0.045,0.04500000178813934,10.747,0.16,0.1599999964237213,11.528,0.075,11.163,0.088,8.63739888601,9.56415550626,11.4118926901,12.3845400991,13.0122281181,10.9463342679,1.40046195723,0.801691764101,0.82253214463,0.844449007963,0.872688046058,0.889280331178,0.847143333103,0.0267353830192,0.183789066442,0.187195467934,0.193900335067,0.198181958203,0.201591912554,0.193405710328,0.00541220147363,-0.00693914440886,0.017351946521,0.0482882315371,0.100451954074,0.121256614172,0.0562625688598,0.0408949586647,38129,-1.06,NA,108.8,13.8,108.8472,0.0021,NA,NA,CD-4512460,8.116434,0.00513917,-0.03574126,0.0010001715,-0.035313923,0.001371318,8.116429,0.010269431,6.278782,179.87384,191.61757,5.3632603,-64.00071,1.4176111,37.936222,4.8852983,-82.185616,1.7664778,-64.16714,1.4177606,37.654026,4.885255,220.49,158.61925,0.16736926,0.021715615,-1.3259174,-1.268735,-1.3957659,1.3891648,0.18023962,0.79526126,0.6044545,0.11902923,1.0437133,0.22480483,0.2328068,0.21678382,0.16736926,0.14547038,0.18932308,0.13343355,0.14104402,0.12616682,64.00071,0.07,-0.07,0.14,-0.2,0.14,-0.08999999999999997,NA,104.166051848976,-0.07,0.10999999999999999,6.7272642000000005,NA,0.1063014581273465,0.1140175425099138,0.12041594578792295,0.3984971769034255,0.13892443989449804,0.14866068747318506,NA,2.2649646903949847,0.14422205101855956,0.18053194130349387,NA,0.00801149000000001,0.00743859999999999
HD10002,-16.5936,-2.15326,t4trans,,thin,Thin Disc,-6.69205,-3.41308,t4trans,Transition,2.61282,-2.14729,-14.5309,4.92628,t4trans,Inner Disc III,Inner Disc III,-16.613,-2.24307,-6.9189,-3.38906,t4trans,24.28595,-29.39326,228.28617255135967,-79.6886759977338,11.5,5313,44,44,4.4,0.07,4.5,0.05,4.5,0.05000000074505806,0.17,0.03,0.20500000193715096,0.04142462978822074,0.82,0.09,4.48,143,thin,0.16,0.04,4,0,0.07,3,-0.02,0.13,1,-0.14,0.06,6,-0.02,0.13,3,0.06,0.08,4,-0.13,0.05,3,0.18,0.07,4,0.02,0.09,2,9.99,9.99,0,0.11,0.02,2,0.01,0.01,3,0.02,0.04,14,-0,0.05,12,0.11,0.03,22,0.05,0.04,5,5230,4.28,0.13,0.72,0.12,0.12,NA,NA,-18,-25,4,thin,thin,5023104337325327e3,29.49,0.25,285.752,0.055,-70.207,0.045,7.858,0.03,7539,29.99,0.83,8.2842,285.13,0.95,-70.73,0.54,29.49,0.25,285.752,0.055,-70.207,0.045,0.0338578420479,2.85975319369e-4,01370861-2923358,6.684,6.336,6.211,0.02,0.034,0.02,8.157,0.059,0.05900000035762787,8.921,0.039,0.0390000008046627,8.459,0,0.1,7.878,0,0.1,7.64,0.035,0.03500000014901161,9.192,0.018,8.22,0.012,4.99389811704,6.51289291931,9.12381928157,11.4084208862,12.3367220537,8.78389850946,2.2016293998,0.863320794753,0.874823576101,0.899520554775,0.931266112819,0.948965841379,0.903159675739,0.0252586516518,0.0334100833614,0.0335308697111,0.0338859506879,0.0341014637334,0.03435563502,0.0338578420479,2.85975319369e-4,-0.103086649142,-0.0711455558918,-0.0200973870126,0.0381087795075,0.0795140657054,-0.0179309529447,0.0533318244964,14813,0.21,-0.08,11,12.9,11.6876,0.0012,NA,NA,HD10002,8.304089,3.4061453e-5,-0.0045239837,3.8211165e-5,-0.019304177,2.8135674e-4,8.304034,6.816453e-5,6.2826405,179.98439,47.230076,0.39901775,18.735056,0.2434021,193.97397,0.31249803,4.3700213,0.12165423,18.62938,0.24340212,193.98415,0.31249803,219.98921,222.54758,0.8821747,0.0014211544,-1.3726474,-0.98032403,-1.3728647,7.32205,0.011795581,0.12108477,0.08543696,0.78718024,1.0040739,0.0088948095,0.009148459,0.008644221,0.8821747,0.8807463,0.8836031,0.00710758,0.006945625,0.007271111,-18.735056,-0.15000000000000002,0.1,-0.25,0.11,0.19,-0.05000000000000002,NA,19.237967914662654,0.15000000000000002,0.010000000000000009,0.9819839999999997,NA,0.0608276253029822,0.022360679774997897,0.06324555320336758,0.1392838827718412,0.09433981132056604,0.12369316876852982,NA,0.27211088541494055,0.07810249675906655,0.011795777953603192,NA,2.5211899999999943e-4,1.6274299999999992e-4
HD100289,-7.67781,1.42252,thin,,thin,Thin Disc,-4.56435,-0.267358,thin,Thin Disc,-1.66686,-0.0272101,-8.55615,2.88051,thin,Thin Disc,Thin Disc,-7.52171,1.60477,-5.11844,0.0945957,thin,173.06016,-31.38291,283.7177147777721,28.516864362050935,-19.415,5483,33,33,4.42,0.05,4.51,0.08,4.51,0.07999999821186066,0.03,0.02,0.05499999783933163,0.03815756775051287,0.7,0.05,4.45,153,thin,0.09,0.03,4,-0.04,0.04,3,0.02,0.08,1,-0.02,0.05,6,0,0.15,3,0.05,0.09,4,-0.08,0.04,3,0,0.07,4,-0.05,0.14,2,9.99,9.99,0,0.07,0.01,2,0.01,0.02,3,0.03,0.03,14,-0,0.07,12,0.06,0.02,22,0.02,0.02,5,5483,4.42,0.03,0.7,-0.02,0.12,-0.02,0.45,-3,15,-22,thin,thin,3478843245411174e3,17.71,0.27,-77.917,0.08,-68.818,0.056,8.75,0.03,56278,18.83,1,9.1439,-79.12,0.97,-68.22,0.63,17.71,0.27,-77.917,0.08,-68.818,0.056,0.0563185423751,7.71487932089e-4,11321444-3122583,7.679,7.296,7.222,0.02,0.027,0.02,8.951,0.016,0.01600000075995922,9.695,0.025,0.02500000037252903,9.297,0.01,0.00999999977648258,8.756,0.008,0.00800000037997961,8.531,0.088,0.08799999952316284,9.913,0.026,9.063,0.018,7.33778104354,7.5843612719,9.02111403392,11.6013869272,12.5039439106,9.54890001547,1.94098039888,0.862248084507,0.873709037011,0.89272923953,0.917887906281,0.922017626028,0.893095721027,0.0215165498972,0.0549836432315,0.0553422840634,0.0565671730963,0.0569414037442,0.0572679788478,0.0563185423751,7.71487932089e-4,-0.0862875209673,-0.0707129832953,-0.0358093811248,6.4340701704e-4,0.0141436069523,-0.037491142896,0.0326864991201,10572,0.08,-0.03,-19.8,0.1,-19.4131,0.0011,4.173,1.929,HD100289,8.288219,1.6075345e-4,-0.048074245,6.585522e-4,0.04086762,3.6832178e-4,8.288404,3.1386205e-4,6.277385,179.83383,27.755302,0.38067573,3.0420427,0.1571228,234.35999,0.2186716,-23.45395,0.30287698,1.6826538,0.15712528,234.37369,0.21866983,220.031,218.58179,1.0638466,9.933823e-4,-1.3689762,-0.8014777,-1.3747488,8.8299265,0.008245073,0.07795296,0.050871693,0.99856675,1.1674111,0.0043467763,0.0042334683,0.00446213,1.0638466,1.0628138,1.0648795,0.0023485895,0.0023954967,0.0023041733,-3.0420427,-0.03,0.060000000000000005,-0.09000000000000001,0.1,0.13,-0.05,0,23.650407911727935,0.03,-0.06,-0.5415224999999992,4.656926499999999,0.05385164807134505,0.022360679774997897,0.050990195135927854,0.08944271909999159,0.09848857801796104,0.1216552506059644,0.4657252408878007,0.3412067398129181,0.06403124237432849,0.008251044670934658,1.9290176207667922,1.143308499999998e-4,4.5661699999999814e-5
HD101339,0.85276,2.97703,thin,,thin,Thin Disc,-2.07815,1.92815,thin,Thin Disc,-5.20177,-2.56825,-1.21748,-0.214635,thin,Thin Disc,Thin Disc,0.946743,3.09507,-1.73002,1.83219,thin,174.91582,-4.98447,271.8672448759102,53.502086852073006,-0.888333,5731,18,30,4.48,0.02,4.46,0.1,4.46,0.10000000149011612,-0.1,0.01,-0.08250000141561031,0.02690724804652086,0.88,0.02,4.45,193,thin,-0.05,0.02,4,-0.03,0.02,3,0.01,0.05,1,0.01,0.04,6,0.07,0.3,2,-0.01,0.02,4,0.05,0.02,3,0.03,0.05,4,0.02,0.03,4,9.99,9.99,0,0,0.02,2,0.02,0.03,3,0,0.01,14,0.03,0.05,12,0.02,0.02,22,0,0.02,5,5731,4.48,-0.1,0.88,-0.13,0.12,NA,NA,0,4,0,thin,thin,3599809350035574300,16.49,0.33,-53.863,0.085,-15.739,0.068,8.619,0.03,56884,16.94,1.22,8.9629,-54.32,1.17,-13.75,0.95,16.49,0.33,-53.863,0.085,-15.739,0.068,0.0600894224495,0.00121616160913,11393980-0459041,7.64,7.363,7.226,0.03,0.042,0.017,8.974,0.021,0.02099999971687793,9.453,0.02,0.01999999955296516,9.471,0.19,0.1899999976158142,8.846,0.061,0.06100000068545341,8.491,0.004,0.0040000001899898,9.593,0.028,8.886,0.02,6.18749781546,6.69484265549,7.89476050406,9.67199487216,11.2808261439,8.05964484541,1.50941174638,0.882084872265,0.899848577567,0.922927960243,0.942548248905,0.951114942755,0.922234311641,0.020594921308700002,0.0584264863278,0.0588783379725,0.0599537980507,0.0613187463573,0.0621288364196,0.0600894224495,0.00121616160913,-0.00268542472366,0.0350102060009,0.0686789978736,0.0863295933526,0.100373794109,0.060806528744,0.0299197878351,8704,NA,NA,NA,NA,-0.8801,0.002,6.491,1.366,HD101339,8.298754,2.3569983e-5,-0.03572182,7.2298094e-4,0.062302563,9.776462e-4,8.298912,4.0915536e-5,6.278881,179.8767,15.985367,0.32441023,0.17041247,0.2417595,223.51256,0.2059419,-0.037383895,0.1619165,-0.7916855,0.24175888,223.51123,0.20594262,220.00291000000001,219.64833,1.015827,9.3599356e-4,-1.3732744,-0.8571805,-1.3734818,8.431364,0.0077687465,0.018626297,0.0037142737,0.99902076,1.0369432,2.360816e-4,2.1114807e-4,2.6262988e-4,1.015827,1.014886,1.016768,1.7661217e-5,3.0194777e-5,8.5893025e-6,-0.17041247,-0.01,-0.02,0.01,-0.04,-0.060000000000000005,-0.03,NA,0.17446479741446963,0.01,0.04,-0.13245200000000068,1.9403640000000006,0.05,0.03605551275463989,0.044721359549995794,0.05385164807134505,0.0282842712474619,0.12041594578792295,NA,0.29097183508460056,0.044721359549995794,0.007768854243860443,1.3660220911179224,2.574090500000001e-5,1.0802737250000001e-5
