id,lon,lat,time,FOR_CODE,FOR_TYPE,FOR_CAT,COVER,HEIGHT,FOREST,rf,arf7,arf14,arf28,arf60,arf90,arf180,arf360,arf720,se,ase7,ase14,ase28,ase60,ase90,ase180,ase360,ase720,maxt,amaxt7,amaxt14,amaxt28,amaxt60,amaxt90,amaxt180,amaxt360,amaxt720,mint,amint7,amint14,amint28,amint60,amint90,amint180,amint360,amint720,dist_cfa,dist_camp,ws,aws_m0,aws_m1,aws_m3,aws_m6,aws_m12,aws_m24,dist_road,log_dist_cfa,log_dist_camp,log_dist_road,cause
2,141.3,-37.65,2019-10-01,41,Eucalypt Medium Woodland,Native forest,1,2,1,0,2.4,1.74285714285714,1.53571428571429,1.79666666666667,1.015,0.844444444444444,1.52555555555556,1.52138888888889,4.6,18.5,17.4428571428571,18.475,19.9915254237288,21.9319327731092,19.9396648044693,14.8325905292479,14.7504867872045,17.8,20.4428571428571,19.7285714285714,19.1,22.28,25.7766666666667,25.9272222222222,20.7977777777778,20.5722222222222,9,7.97142857142857,9.23571428571429,7.56071428571429,9.90333333333333,10.8125,11.0105555555556,8.45972222222222,8.26625,6322.437943663796,6592.893057128456,1.2637833407837877,2.644794892365843,2.5592016787737566,2.446210555780342,2.144843047343996,2.5450083075709493,2.5806707498527337,102.22032155950882,8.75186016333799,8.793747538312617,4.627130499094418,lightning
3,141.48,-37.35,2019-10-02,91,Hardwood plantation,Commercial plantation,4,4,1,15.4,2.4,1.8,1.53571428571429,1.79666666666667,1.015,0.844444444444444,1.52555555555556,1.52138888888889,14.2,21.4142857142857,18.0357142857143,19.3392857142857,20.3949152542373,22.0436974789916,19.9938547486034,14.8788300835655,14.7742698191933,15.4,22.2142857142857,19.8642857142857,19.1892857142857,22.3866666666667,25.8983333333333,25.985,20.8133333333333,20.5769444444444,7.3,9.17142857142857,9.42142857142857,7.35357142857143,9.97166666666667,10.8783333333333,11.02,8.44833333333333,8.25402777777778,7957.374086448529,31767.235040977797,1.456563850394874,2.644794892365843,2.5592016787737566,2.446210555780342,2.144843047343996,2.5489526585979028,2.5840470653981598,1217.2244595473974,8.981854335776083,10.366190692975017,7.104328512749767,lightning
4,147.16,-37.85,2019-10-02,44,Eucalypt Medium Open,Native forest,2,2,1,4.8,0.714285714285714,1.67142857142857,3.78571428571429,4,2.96,2.35888888888889,1.72722222222222,1.71111111111111,23.7,23.0857142857143,19.1714285714286,18.2357142857143,19.9084745762712,20.5932773109244,19.1100558659218,14.6927576601671,14.5346314325452,20.8,24.2142857142857,21.8,19.75,22.9316666666667,24.9366666666667,24.8405555555556,20.2197222222222,20.1315277777778,7.7,10.3285714285714,10.0071428571429,8.67142857142857,10.9716666666667,12.49,12.4194444444444,9.58861111111111,9.67486111111111,7790.784558664909,8816.272428744367,5.424444684229186,5.008369183200738,5.229679970361307,5.386005398463643,5.132617061205004,5.045296653810494,5.081099983291664,281.69151138800396,8.960696847357697,9.084354432542334,5.640812540910391,lightning
5,148.1050025,-37.57999,2019-10-02,0,Non forest,Non forest,6,6,0,6,0.857142857142857,1.57142857142857,1.9,2.53333333333333,2.17833333333333,1.78666666666667,1.47166666666667,1.53944444444444,23.8,23.1142857142857,18.4571428571429,16.8607142857143,19.2677966101695,20.0453781512605,18.6675977653631,14.4431754874652,14.3265646731572,19.8,23.1428571428571,20.8928571428571,19.0571428571429,22.12,23.9375,23.9538888888889,19.9938888888889,20.03875,8.3,11.2,10.9,9.575,11.975,13.4616666666667,13.425,10.4563888888889,10.5170833333333,10692.05478016577,15339.701938104288,4.219751154820444,3.947659123664638,4.027397958804636,3.708621881039182,3.3898897291156196,3.6987360767487103,3.7452855188304532,215.5617583081435,9.277256200717979,9.638199644361178,5.373247449963479,lightning
6,144.17999,-38.35,2019-10-02,44,Eucalypt Medium Open,Native forest,2,2,1,11.6,1.65714285714286,1.84285714285714,1.46428571428571,1.96,1.175,1.00555555555556,1.33777777777778,1.47833333333333,16.8,22.0142857142857,18.6285714285714,19.375,20.4491525423729,21.809243697479,19.8106145251397,14.7554317548747,14.540611961057,15.8,21.6714285714286,19.5785714285714,18.8857142857143,21.0316666666667,23.1641666666667,23.3433333333333,19.5055555555556,19.65,8.3,10.6142857142857,10.75,10.0607142857143,12.3183333333333,13.6383333333333,13.6955555555556,11.0386111111111,10.9654166666667,6054.056587919875,9419.403044494018,4.176911041573535,5.231651788061261,4.970447933019426,5.304526936938431,5.035500382521513,5.234179093938622,5.252204126670075,149.11549443418568,8.708483836733201,9.150526994489555,5.004721136117793,burning_off
7,143.58,-36.15,2019-10-02,0,Non forest,Non forest,6,6,0,11.6,1.65714285714286,1.04285714285714,0.692857142857143,0.91,0.56,0.421111111111111,0.626666666666667,0.91,18,21.8857142857143,20.9857142857143,22.0464285714286,22.3050847457627,23.8428571428571,22.2167597765363,16.8298050139276,16.8709318497914,19.5,26.3857142857143,25.75,24.6857142857143,27.7183333333333,30.8983333333333,30.2888888888889,24.0697222222222,23.8154166666667,6.1,8.42857142857143,8.77857142857143,7.44285714285714,11.2383333333333,13.3375,13.11,8.83333333333333,9.04222222222222,13835.006642252109,30754.593029028067,2.0349053792281326,2.839691876678939,2.730127466613566,2.7319761426930658,2.5197966891897132,2.8899989766086884,2.9090562295949236,239.96871143436272,9.53495737232587,10.333794628878215,5.480508545819723,lightning
8,143.14249999999998,-37.2824975,2019-10-03,102,Other forest ? unallocated type,Other forest,5,5,1,0.6,2.22857142857143,2.22857142857143,1.44285714285714,2.19333333333333,1.23666666666667,1.10222222222222,1.35666666666667,1.63972222222222,12.9,21.2,20.0571428571429,20.9428571428571,21.7610169491525,23.3613445378151,21.5,15.6568245125348,15.4271210013908,12.6,20.2428571428571,17.1785714285714,16.4214285714286,19.825,23.4191666666667,23.0766666666667,16.9463888888889,16.8677777777778,5.9,10.8285714285714,8.25,6.39642857142857,9.75666666666667,11.6758333333333,11.3261111111111,7.735,7.63,1745.5628173392856,6306.152075626073,6.24394650573685,5.231651788061261,4.970447933019426,5.304526936938431,5.035500382521513,5.241324719908379,5.25855679830747,1170.399640747562,7.464832314060973,8.749280955834847,7.065100542757441,burning_off
9,141.14999999999998,-36.54,2019-10-03,0,Non forest,Non forest,6,6,0,0.2,0.942857142857143,3.44285714285714,1.9,1.83,1.005,0.71,0.918333333333333,0.9675,14.7,21.8142857142857,20.9571428571429,21.9785714285714,21.6983050847458,22.7689075630252,21.1854748603352,16.2682451253482,16.3927677329624,18.8,26.2,23.9785714285714,23.0571428571429,25.94,29.1816666666667,28.74,22.8705555555556,22.7879166666667,7.4,10.6571428571429,9.71428571428571,8.05714285714286,11.3383333333333,12.775,12.565,9.09777777777778,8.99333333333333,19430.100219644948,77174.82840797411,2.4059007599463564,3.862583496961611,3.569327787748105,3.30586991403249,3.129753056365755,3.673599050920191,3.7145659895948047,540.2378150259324,9.874578700342997,11.253828625953235,6.292009440807668,lightning
10,143.36,-37.32,2019-10-03,91,Hardwood plantation,Commercial plantation,4,4,1,0.6,2.22857142857143,2.22857142857143,1.44285714285714,2.19333333333333,1.23666666666667,1.10222222222222,1.35666666666667,1.63972222222222,12.9,21.2,20.0571428571429,20.9428571428571,21.7610169491525,23.3613445378151,21.5,15.6568245125348,15.4271210013908,12.6,20.2428571428571,17.1785714285714,16.4214285714286,19.825,23.4191666666667,23.0766666666667,16.9463888888889,16.8677777777778,5.9,10.8285714285714,8.25,6.39642857142857,9.75666666666667,11.6758333333333,11.3261111111111,7.735,7.63,5013.557957745043,7067.843738832912,6.24394650573685,5.231651788061261,4.970447933019426,5.304526936938431,5.035500382521513,5.241324719908379,5.25855679830747,550.8225537006666,8.51990111323326,8.86331072493726,6.311412713185153,burning_off
11,148.63,-37.47,2019-10-06,45,Eucalypt Tall Open,Native forest,2,3,1,0,0.942857142857143,1.82857142857143,1.86428571428571,2.12,1.76166666666667,1.30555555555556,1.18555555555556,1.36027777777778,24.7,18.1,18.0857142857143,18.8,19.9677966101695,20.1974789915966,18.6357541899441,14.5972144846797,14.5093184979138,22.3,23.2857142857143,22.7285714285714,20.2285714285714,23.47,25.1058333333333,25.2094444444444,21.2997222222222,21.2513888888889,6.9,12.1285714285714,11.5428571428571,9.78214285714286,11.7666666666667,13.5275,13.2955555555556,10.0633333333333,10.2831944444444,16570.509754995946,15460.071039476154,2.5061466249441215,2.6956144684511356,2.9671680643156755,2.954369609700942,2.561416021406733,2.6335837689168984,2.6815831736764384,297.4808302758421,9.715379873676802,9.64601591718106,5.695349786862003,lightning
