Star,[Fe/H],[TiI/Fe],[CaI/Fe],[MgI/Fe],[CuI/Fe],[Al/Mg],[BaII/Fe],[ZnI/Fe],[CeII/Fe],[Mg/Ti],[Y/Ba],[Y/Zn],Teff,logg,vtur,Age,pop,log_S_N
HD2567,0.22,-0.01,-0,-0.01,0.03,0.08,-0.12,-0.05,-0.07,0,0.09999999999999999,0.030000000000000002,6038,4.44,1.19,2.346,thin,2.3783979009481375
HD25673,-0.51,0.19,0.11,0.11,0.03,0.039999999999999994,-0.03,0.03,0.08,-0.08,-0.07,-0.13,5116,4.45,0.48,7.638,thin,2.4471580313422194
HD25704,-0.83,0.25,0.22,0.28,-0.12,-0.19000000000000003,-0.14,0.05,-0.05,0.030000000000000027,0.030000000000000013,-0.16,5942,4.52,1.37,12.548,thick,2.660865478003869
HD25912,0.12,0.04,0.01,0,-0.09,-0.02,0.07,-0.12,0.12,-0.04,-0.010000000000000009,0.18,5900,4.52,0.99,1.144,thin,2.0644579892269186
HD2638,0.12,0.06,-0.02,-0.06,0.09,0.12,-0.08,-0.08,0.05,-0.12,0.06,0.06,5169,4.41,0.66,5.637,thin,2.5118833609788744
HD26430,-0.23,0.09,0.02,0.07,0.01,-0.020000000000000004,0.02,0.01,0.17,-0.01999999999999999,0.009999999999999998,0.019999999999999997,4922,4.4,0.33,5.982,thin,2.123851640967086
HD26729,0.31,0.04,-0.06,-0.01,0.15,0.060000000000000005,-0.12,0,0.02,-0.05,0.04999999999999999,-0.07,5718,4.17,1.13,5.306,thin,2.173186268412274
HD26887,-0.35,0.04,0.09,0.07,-0.07,-0.13,0.06,-0.02,-0,0.030000000000000006,-0.16999999999999998,-0.09,6016,4.46,1,7.991,thin,2.0755469613925306
HD26965A,-0.36,0.33,0.18,0.24,0.12,0.09000000000000002,-0.1,0.2,-0.03,-0.09000000000000002,0.010000000000000009,-0.29000000000000004,5098,4.35,0.42,10.875,thick,3.3044905277734875
HD27063,0.05,0.02,0.02,0,-0.08,-0.02,0.05,-0.05,0.02,-0.02,-0.010000000000000002,0.09,5767,4.44,0.94,2.178,thin,3.0056094453602804
HD27471,0.11,0.01,0.01,0.01,-0.02,0.04,-0.03,0.04,-0.07,0,-0.020000000000000004,-0.09,5871,4.25,1.13,5.592,thin,2.089905111439398
HD2768,-0.03,0.04,0,0.02,-0.01,0,-0.02,-0.07,0.04,-0.02,-0.009999999999999998,0.04000000000000001,5548,4.4,0.81,4.907,thin,2.123851640967086
HD27894,0.26,0.02,-0.11,0.03,0.16,0.06,-0.05,0.01,-0.03,0.009999999999999998,0.05,-0.01,4833,4.3,0.33,5.210,thin,2.6232492903979003
HD28185,0.21,0.03,-0.04,0.03,0.1,0.04000000000000001,-0.12,0.03,-0.04,0,0.06999999999999999,-0.08,5667,4.42,0.94,3.600,thin,2.7671558660821804
HD28254,0.36,0.02,-0.08,0.01,0.19,0.08,-0.12,-0.02,0,-0.01,0.07999999999999999,-0.02,5653,4.15,1.08,6.012,thin,2.56702636615906
HD283,-0.55,0.19,0.13,0.13,0,0.03,-0.09,0.04,0.05,-0.06,-0.04000000000000001,-0.17,5135,4.49,0.47,8.418,thin,2.4424797690644486
HD28471,-0.05,0.04,0.03,0.05,-0.01,0.009999999999999995,-0.04,0,-0.05,0.010000000000000002,-0.049999999999999996,-0.09,5745,4.37,0.95,7.832,thin,2.73559889969818
HD28701,-0.32,0.23,0.2,0.24,0.03,0,0.15,0.18,0.16,0.009999999999999981,0.07,0.04000000000000001,5710,4.41,0.95,12.248,thick,2.815577748324267
HD28807,0.06,0.08,0.03,-0.07,-0.05,-0.33,-0.04,-0.23,0.02,-0.15000000000000002,-0.030000000000000006,0.16,6602,4.67,1.89,1.074,thin,1.9344984512435677
HD28821,-0.12,0.09,0.06,0.09,-0.05,0.020000000000000004,-0.01,0,0.03,0,-0.09000000000000001,-0.1,5660,4.38,0.88,10.250,thin,2.6910814921229687
HD28969,-0.01,0.03,0,-0.06,-0.2,-0.29,0.08,-0.15,0.08,-0.09,-0.04,0.19,6255,4.68,1.47,0.986,thin,2.0492180226701815
HD290038,0.03,0.05,-0.08,-0.14,0.09,0.15000000000000002,0.01,-0.03,0.05,-0.19,0.04,0.08,4914,4.31,0.1,6.130,thin,2.0718820073061255
HD290327,-0.14,0.07,0.05,0.05,0.03,0.03,-0.02,0.05,0.02,-0.020000000000000004,-0.02,-0.09,5505,4.41,0.73,8.941,thin,2.3636119798921444
HD29137,0.3,0.01,-0.01,0.01,0.08,0.03,-0.14,0.02,-0.03,0,0.08000000000000002,-0.08,5768,4.28,1.1,5.316,thin,2.2833012287035497
HD291763,-0.66,0.4,0.22,0.22,-0.02,0.15,-0.17,0.24,-0.05,-0.18000000000000002,0.03,-0.38,4889,4.39,0.03,8.724,thick,1.99563519459755
HD29263,0.03,0.03,-0.02,0.05,0.07,0,-0.05,0.04,-0.09,0.020000000000000004,-0.039999999999999994,-0.13,5780,4.35,0.94,6.997,thin,2.1172712956557644
HD29303,-0.12,0.01,0.09,-0.07,-0.12,0.020000000000000004,0.14,-0.1,0.1,-0.08,-0.11000000000000001,0.13,5819,4.52,0.93,2.453,thin,1.7781512503836436
HD29428,-0.06,0.03,0.05,-0.02,-0.1,0.45,0.09,0.01,0.13,-0.05,-0.01999999999999999,0.060000000000000005,5743,4.48,0.82,3.031,thin,2.0253058652647704
HD297396,0.11,0.07,-0.08,-0.1,0.09,0.25,-0.14,-0.05,-0.16,-0.17,0.07,-0.020000000000000004,4622,4.28,0.32,5.131,thin,2.59659709562646
HD29980,0.12,0.03,0.06,-0.04,0.02,-0.030000000000000006,0.1,-0.2,0.11,-0.07,-0.2,0.1,6019,4.71,1.57,1.243,thin,1.6334684555795864
HD30053,-0.22,0.04,0.07,0.01,-0.15,-0.27,-0.01,-0.25,0.03,-0.03,-0.08,0.16,6139,4.51,1.2,4.248,thin,1.9912260756924949
HD30177,0.37,0,-0.05,0.05,0.18,0.020000000000000004,-0.12,-0.03,0.04,0.05,0.06,-0.03,5601,4.34,0.89,5.268,thin,2.298853076409707
HD30278,-0.17,0.1,0.07,0.08,-0.01,0.009999999999999995,-0.03,-0.02,0.05,-0.020000000000000004,-0.06,-0.06999999999999999,5394,4.39,0.72,9.106,thin,2.8524799936368566
HD30306,0.17,0.04,-0.03,0.05,0.07,0.020000000000000004,-0.09,0.01,0.03,0.010000000000000002,0,-0.09999999999999999,5529,4.32,0.89,8.527,thin,2.651278013998144
HD30523,-0.07,0.02,-0.15,-0.19,-0.09,0.15,-0,-0.12,-0.01,-0.21,0.02,0.13999999999999999,4514,4.36,0.08,4.823,thin,1.9822712330395684
HD30669,0.13,0.08,-0.02,0,0.08,0.12,-0.03,0.01,0.08,-0.08,-0.03,-0.06999999999999999,5400,4.37,0.55,6.177,thin,2.3138672203691533
HD30858,-0.11,0.08,0.02,-0.07,0.01,0.1,0.12,0.02,0.18,-0.15000000000000002,-0.06999999999999999,0.030000000000000002,5163,4.44,0.73,5.536,thin,1.792391689498254
HD309701,-0.33,0.11,0.01,0.05,-0.01,0,0.05,-0.05,0.17,-0.06,-0.010000000000000002,0.09,4690,4.31,0,5.907,thin,1.9867717342662448
HD31103,0.09,0,0.02,-0.03,-0.07,0,0.07,-0.06,-0.07,-0.03,-0.05,0.08,6078,4.49,1.08,1.031,thin,2.5550944485783194
HD31128,-1.39,0.35,0.31,0.25,-0.53,9.74,-0.12,0.06,0.08,-0.09999999999999998,0.12,-0.06,6096,4.9,3.02,10.004,thick,2.7589118923979736
HD31527,-0.17,0.03,0.05,0.06,-0.03,-0.049999999999999996,-0.01,-0,-0.02,0.03,-0.08,-0.09,5898,4.45,1.09,6.671,thin,2.6384892569546374
HD31532,-0.08,0.05,0.06,0.04,-0.02,0.030000000000000006,0.06,-0.05,0.06,-0.010000000000000002,-0.06,0.05,5896,4.07,1.33,4.349,thin,2.2528530309798933
HD31560,0,0.04,-0.07,-0.15,0.05,0.19,-0.07,-0.06,-0.08,-0.19,0.07,0.06,4655,4.36,0.08,5.285,thin,2.44870631990508
HD31822,-0.19,0.02,0.06,0.01,-0.13,-0.09999999999999999,0.14,-0.12,0.11,-0.01,-0.12000000000000001,0.13999999999999999,6042,4.57,1.15,2.257,thin,2.6273658565927325
HD3220,-0.22,0.05,0.06,0.06,-0.09,-0.09,0.16,-0.05,0.1,0.009999999999999995,-0.12,0.09,5846,4.51,0.87,4.683,thin,2.5327543789924976
HD3229,-0.09,0.07,0.07,-0.08,-0.21,-0.08,0.14,-0.17,-0.04,-0.15000000000000002,-0.2,0.11000000000000001,6583,4.14,1.8,1.844,thin,2.1903316981702914
HD323631,-0.32,0.08,0.05,-0.02,-0.02,0.05,0.01,0.05,0.11,-0.1,-0.01,-0.05,4898,4.4,0.39,7.110,thin,2.0718820073061255
HD326267,-0.26,0.3,0.17,0.19,0.1,0.15999999999999998,-0.19,0.01,-0,-0.10999999999999999,-0.08000000000000002,-0.28,4597,4.01,0.24,5.450,thick,1.9867717342662448
HD32724,-0.17,0.09,0.07,0.11,-0.03,-0.020000000000000004,-0.03,0.06,0.02,0.020000000000000004,-0.08,-0.16999999999999998,5818,4.26,1.14,9.566,thin,2.6875289612146345
HD32804,0.06,0.02,0.04,-0.03,-0.17,-0.04000000000000001,0.21,-0.13,0.05,-0.05,-0.10999999999999999,0.23,5910,4.53,1.08,1.321,thin,2.44870631990508
HD329788,-0.12,0.19,0.04,0.04,0.12,0.34,-0.03,0.07,0.12,-0.15,-0.06,-0.16,5071,4.27,0.27,10.303,high,1.968482948553935
HD330075,0.05,0.21,-0.01,0.03,0.13,0.14,-0.06,0.11,-0.01,-0.18,0.03,-0.14,4958,4.24,0.32,6.685,high,2.603144372620182
HD33081,-0.16,0.07,0.06,0.08,0.05,-0.03,-0.12,-0.19,0.1,0.009999999999999995,0.009999999999999995,0.08,6399,4.56,2.47,3.224,thin,2.0453229787866576
HD33473A,-0.13,0.03,0.04,0.04,-0.08,0.010000000000000002,0.1,-0.04,0.1,0.010000000000000002,-0.04000000000000001,0.1,5740,3.97,1.2,4.189,thin,2.5774917998372255
HD33725,-0.17,0.09,0.06,0.04,0.01,0.030000000000000006,-0.04,0.03,0.05,-0.049999999999999996,-0.010000000000000002,-0.08,5274,4.41,0.71,6.548,thin,2.5224442335063197
HD33811,0.3,0.04,-0.05,0.01,0.1,0.049999999999999996,-0.1,-0.01,-0,-0.03,0.09000000000000001,0,5554,4.39,0.78,4.802,thin,2.0530784434834195
HD33822,0.26,0,-0.03,0.1,0.13,-0.060000000000000005,-0.13,-0.01,-0.07,0.1,0.03,-0.09000000000000001,5726,4.29,0.98,6.156,thin,1.9344984512435677
HD34327,-0.06,0.03,0.04,0.02,-0.01,0,-0.01,0.04,-0.05,-0.009999999999999998,-0.060000000000000005,-0.11000000000000001,5883,4.2,1.19,6.397,thin,2.1760912590556813
HD34449,-0.09,0.02,0.02,0.01,-0.1,-0.03,0.11,-0.04,0.09,-0.01,-0.09,0.06,5848,4.5,0.92,2.584,thin,2.505149978319906
HD34688,-0.22,0.07,0.02,0.03,0.02,0.06,-0.07,0.08,-0.05,-0.04000000000000001,-0.04999999999999999,-0.2,5104,4.34,0.54,8.455,thin,2.326335860928751
HD3569,-0.34,0.14,0.05,-0.03,-0,0.11,0.05,0.03,0.12,-0.17,-0.020000000000000004,0,5093,4.43,0.39,7.614,thin,2.3560258571931225
HD35854,-0.14,0.06,-0.07,-0.07,0.05,0.09000000000000001,-0,-0.03,-0.01,-0.13,0.04,0.07,4808,4.35,0.16,6.892,thin,2.6757783416740852
HD36003,-0.13,0.14,-0.1,-0.02,0.09,0.24,-0.15,-0.03,-0.12,-0.16,0.04999999999999999,-0.07,4568,4.34,0.24,5.560,high,3.3012470886362113
HD36051,-0.08,0.01,0.05,-0.03,-0.14,-0.22,0.22,-0.09,0.09,-0.04,-0.14,0.16999999999999998,6118,4.63,1.21,1.050,thin,2.292256071356476
HD361,-0.12,0.04,0.07,0.01,-0.1,-0.05,0.18,-0.06,0.14,-0.03,-0.10999999999999999,0.13,5913,4.6,1,1.721,thin,2.8208579894397
HD36108,-0.21,0.05,0.08,0.08,-0.07,-0.04,-0.05,-0.04,-0.02,0.03,-0.09000000000000001,-0.1,5916,4.33,1.21,8.890,thin,2.696356388733332
HD36179,-0.08,0.1,0.08,-0.03,-0,-0.020000000000000004,0.09,-0.07,0.16,-0.13,-0.09,0.07,5327,4.45,0.69,4.316,thin,2.012837224705172
HD36379,-0.17,0.03,0.06,0.06,-0.03,-0.08,-0.05,-0.01,-0.09,0.03,-0.08,-0.12000000000000001,6030,4.3,1.29,6.869,thin,2.960470777534299
HD37226,-0.12,0.06,0.06,0.02,-0.06,-0.05,0.12,-0.08,0.1,-0.039999999999999994,-0.039999999999999994,0.16,6178,4.16,1.61,3.172,thin,2.6074550232146687
HD37548,-0.04,0.01,0.02,0.01,0,0.04,-0.07,0.02,-0.12,0,-0.01999999999999999,-0.11,5950,4.26,1.19,6.581,thin,2.037426497940624
HD37962,-0.2,0.04,0.03,-0.01,-0.11,0,0.13,-0.04,0.11,-0.05,-0.1,0.07,5718,4.48,0.84,4.160,thin,2.561101383649056
HD37986,0.26,0.02,-0.06,0.03,0.16,0.03,-0.15,0.06,0.03,0.009999999999999998,0.09,-0.12,5507,4.29,0.92,6.152,thin,2.621176281775035
HD37990,0,-0.02,0.05,-0.05,-0.14,-0.06999999999999999,0.22,-0.09,0.03,-0.030000000000000002,-0.18,0.13,6215,4.56,1.15,0.944,thin,2.2430380486862944
HD38078,-0.29,0.07,0.09,0.07,-0.06,-0.030000000000000006,0.11,0,-0.03,0,-0.14,-0.03,5651,4.47,0.62,7.793,thin,1.9493900066449128
HD3808,-0.17,0.07,0.07,0.02,-0.06,0.06,0.11,0.08,0.12,-0.05,-0.09,-0.06,5572,4.46,0.82,4.802,thin,2.0644579892269186
HD3823,-0.28,0.07,0.1,0.1,-0.04,-0.08,-0.09,-0.05,-0.06,0.03,-0.05000000000000002,-0.09000000000000001,6022,4.31,1.39,7.867,thin,2.8987251815894934
HD38265,-0.14,0.06,0.07,0.05,0,0.05,-0.01,0.06,0.02,-0.009999999999999995,-0.04,-0.11,5549,4.43,0.72,8.438,thin,2.230448921378274
HD38277,-0.07,0.02,0.04,0.04,-0.05,-0.02,-0.05,-0.03,-0.04,0.02,-0.09000000000000001,-0.11000000000000001,5871,4.34,1.1,7.967,thin,2.670245853074124
HD38355,0.09,0.05,-0.04,-0.01,0.1,0.09,-0.12,0.01,-0,-0.060000000000000005,0.03,-0.09999999999999999,5314,4.35,0.75,5.139,thin,2.0043213737826426
HD38382,0.03,-0.01,0.04,0.02,-0.08,-0.08,-0,-0.12,-0.06,0.03,-0.03,0.09,6082,4.45,1.18,2.367,thin,2.462397997898956
HD38385,0.09,0.09,0.08,-0.13,-0.11,-0.09,-0.09,-0.25,-0,-0.22,0.049999999999999996,0.21,7212,4.61,2.87,0.692,thin,2.428134794028789
HD38510,-0.81,0.3,0.27,0.34,-0.12,-0.18000000000000002,-0.07,0.08,-0.02,0.040000000000000036,0.04000000000000001,-0.11,5914,4.32,1.3,12.883,thick,2.2810333672477277
HD38772,-0.23,0.05,0.12,0.1,-0.05,-0.12000000000000001,0.01,-0.04,-0.08,0.05,-0.12,-0.07,6106,4.37,1.16,6.346,thin,2.037426497940624
HD38858,-0.22,0.04,0.04,0.04,-0.08,-0.04,0.04,-0,0.07,0,-0.04,0,5733,4.51,0.94,5.611,thin,3.0622058088197126
HD38973,0.05,-0.01,0.03,-0,-0.01,-0.03,-0.04,-0.03,-0.1,0.01,0.010000000000000002,0,6016,4.42,1.14,2.524,thin,2.90687353472207
HD39091,0.09,-0.01,0.03,0.02,-0.02,-0.05,-0.07,-0.04,-0.09,0.03,0.030000000000000006,0,6003,4.42,1.12,2.305,thin,2.968015713993642
HD39194,-0.61,0.36,0.22,0.25,0.05,0.04999999999999999,-0.06,0.17,0.04,-0.10999999999999999,0.03,-0.2,5205,4.53,0.37,10.441,thick,2.9813655090785445
HD39427,-0.18,0.04,0.04,-0.01,-0.1,-0.019999999999999997,0.15,0.01,0.16,-0.05,-0.10999999999999999,0.03,5682,4.52,0.86,3.493,thin,2.292256071356476
HD3964,0.05,0.01,0.01,-0.01,-0.03,-0.01,0.02,0.02,0.06,-0.02,0.02,0.02,5729,4.5,0.85,2.501,thin,2.1583624920952498
HD40105,0.02,0.09,0.01,0.08,0.18,0.06000000000000001,-0.07,0.03,0.08,-0.009999999999999995,0.08,-0.019999999999999997,5064,3.69,0.91,7.332,high,3.082066934285113
HD4021,0.02,0.04,0.04,-0.08,-0.17,-0.11,0.15,-0.15,0.23,-0.12,-0.07999999999999999,0.22,5831,4.71,1.32,1.530,thin,2.1271047983648077
HD40307,-0.36,0.16,0.02,0.16,0.07,-0.01999999999999999,-0.07,0.07,-0.01,0,-0.009999999999999995,-0.15000000000000002,4774,4.42,0.1,6.369,thick,3.3029799367482493
HD40397,-0.13,0.16,0.07,0.14,0.08,0.03999999999999998,-0.08,0.09,-0.01,-0.01999999999999999,0,-0.16999999999999998,5527,4.39,0.83,10.557,high,2.6324572921847245
HD40483,-0.06,0.08,0.07,0.01,-0.06,-0.14,-0.02,-0.15,0.06,-0.07,-0.009999999999999998,0.12,6371,4.39,1.8,2.781,thin,2.2278867046136734
HD40503,0.01,0.02,-0.01,-0.08,-0.12,-0.08,0.09,-0.18,0.06,-0.1,-0.08,0.19,4920,4.35,0.52,5.642,thin,1.505149978319906
HD40865,-0.38,0.1,0.09,0.12,-0.04,-0.01999999999999999,-0.04,0.04,-0.03,0.01999999999999999,-0.1,-0.18000000000000002,5719,4.5,0.87,10.575,thin,2.7528164311882715
HD41087,-0.13,0.02,0.08,-0.03,-0.15,-0.06,0.25,-0,0.18,-0.05,-0.15,0.1,5562,4.52,0.85,3.453,thin,1.9395192526186185
HD41248,-0.37,0.05,0.06,0.09,-0.05,-0.06,0.06,-0.02,0.01,0.039999999999999994,-0.08,0,5713,4.49,0.84,8.862,thin,2.5809249756756194
HD41323,-0.31,0.04,0.06,0.05,-0.09,-0.08,0.15,0,0.13,0.010000000000000002,-0.15,-0,5756,4.56,0.84,5.792,thin,2.6180480967120925
HD4208,-0.28,0.06,0.03,0.08,0,0.020000000000000004,-0.04,0.09,-0.01,0.020000000000000004,-0.07999999999999999,-0.21,5599,4.44,0.78,10.499,thin,2.507855871695831
HD42505,-0.16,0.07,-0.01,-0.05,-0.06,0.08,-0.01,-0.04,-0.22,-0.12000000000000001,-0.01,0.02,4567,4.24,0.25,5.095,thin,1.8195439355418688
HD4307,-0.23,0.06,0.08,0.1,-0.05,-0.060000000000000005,-0.05,0.01,-0.03,0.04000000000000001,-0.05,-0.11,5812,4.1,1.22,7.780,thin,3.0073209529227447
HD4308,-0.34,0.23,0.16,0.25,0.04,0.010000000000000009,-0.1,0.12,-0.06,0.01999999999999999,-0.01999999999999999,-0.24,5644,4.38,0.9,12.260,thick,3.3010299956639813
HD43197,0.36,0.02,-0.08,0.01,0.23,0.09000000000000001,-0.15,0.03,0.07,-0.01,0.13,-0.05,5449,4.3,0.83,6.521,thin,2.5224442335063197
HD44120,0.12,-0,0.03,0.01,0.01,-0.01,-0.08,-0.04,-0.12,0.01,0.03,-0.010000000000000002,6052,4.25,1.31,4.105,thin,2.785329835010767
HD44219,0.04,0.01,0.03,0.06,-0.02,-0.009999999999999995,-0.06,0.02,-0.05,0.049999999999999996,-0.08000000000000002,-0.16,5766,4.2,1.06,8.436,thin,2.60959440922522
HD44420,0.29,0.01,-0.05,0.03,0.16,0.03,-0.2,0.04,-0.12,0.019999999999999997,0.09000000000000001,-0.15,5818,4.37,1.06,2.870,thin,2.7168377232995247
HD44447,-0.22,0.04,0.06,0.08,-0.04,-0.09,-0.07,-0.01,-0.09,0.04,-0.09,-0.15,5999,4.37,1.26,7.708,thin,2.8779469516291885
HD4457,-0.38,0.19,0.14,0.11,0.06,0.030000000000000013,-0.05,-0.03,0.09,-0.08,-0.05,-0.07,5016,4.49,0.77,5.484,thin,2.4785664955938436
HD44573,-0.07,0.05,0.03,-0.06,0.02,0.049999999999999996,0.07,-0.05,0.12,-0.11,-0.010000000000000009,0.11,4990,4.42,0.61,5.732,thin,2.829303772831025
HD44594,0.15,0.02,0.03,0.03,0,0,-0.06,-0.03,-0.05,0.009999999999999998,0.049999999999999996,0.019999999999999997,5840,4.38,1.06,3.352,thin,2.8407332346118066
HD44804,0.03,0.05,0.04,-0.05,-0.05,0.04,0.11,-0.06,0.22,-0.1,-0.05,0.12,5366,4.48,0.97,3.457,thin,2.4668676203541096
HD45184,0.04,0.02,0.04,0.02,-0.06,-0.03,0.03,-0.04,0.02,0,-0.009999999999999998,0.06,5869,4.47,1.03,2.528,thin,3.172310968521954
HD45289,-0.02,0.1,0.06,0.1,0.04,0.03,-0.07,0.09,-0.07,0,-0.039999999999999994,-0.2,5717,4.32,0.99,9.827,high,2.8000293592441343
HD45364,-0.17,0.09,0.06,0.08,0.03,0.020000000000000004,-0.05,0.08,0.01,-0.009999999999999995,-0.009999999999999995,-0.14,5434,4.38,0.71,8.618,thin,3.0429690733931802
HD457,0.34,-0.02,-0.03,-0.02,0.12,0.02,-0.2,0.05,-0.18,0,0.08000000000000002,-0.16999999999999998,6089,4.43,1.17,1.248,thin,2.3443922736851106
HD4597,-0.39,0.09,0.09,0.12,-0.1,-0.26,-0.01,-0.02,-0.09,0.03,-0.13999999999999999,-0.13,6025,4.43,1.11,8.563,thin,2.173186268412274
HD45977,0.11,0.04,-0.06,-0.32,0.02,0.34,-0.08,-0.1,-0.17,-0.36,0.14,0.16,4598,4.27,0.16,5.021,thin,2.361727836017593
HD47186,0.23,0.02,-0.05,0.05,0.13,0,-0.15,0.03,-0.07,0.030000000000000002,0.09,-0.09,5675,4.36,0.93,3.966,thin,3.1283992687178066
HD48115,-0.19,0.05,0.06,0.03,-0.12,-0.019999999999999997,0.16,-0.05,0.12,-0.020000000000000004,-0.1,0.11,5825,4.48,0.89,3.742,thin,2.545307116465824
HD4838,-0.14,0.03,-0.04,-0.01,-0.12,-0.049999999999999996,0.09,-0.17,0.06,-0.04,0.010000000000000009,0.27,4506,4.28,0.33,5.018,thin,2.1367205671564067
HD48611,-0.36,0.12,0.06,0.08,-0.03,0,0.06,0.02,0.14,-0.039999999999999994,-0.039999999999999994,0,5337,4.51,0.69,7.654,thin,2.622214022966295
HD49035,0.24,0.02,-0.06,0.07,0.13,0,-0.07,0,0.04,0.05,-0.009999999999999995,-0.08,5640,4.35,1.01,4.834,thin,2.3783979009481375
HD4915,-0.21,0.07,0.05,0.05,-0.08,-0.030000000000000002,0.09,-0.02,0.11,-0.020000000000000004,-0.08,0.03,5658,4.52,0.9,4.681,thin,2.8920946026904804
HD50590,-0.21,0.15,0,0.05,0.01,0.05,-0.06,-0.04,0.05,-0.09999999999999999,-0.06,-0.07999999999999999,4760,4.33,0.09,5.644,thin,2.311753861055754
HD50806,0.03,0.13,0.09,0.16,0.13,0.01999999999999999,-0.06,0.12,0.01,0.03,-0.020000000000000004,-0.2,5633,4.11,1.03,9.496,high,3.2796669440484556
HD51608,-0.07,0.11,0.07,0.06,0,0.06,-0.07,0.01,0.05,-0.05,-0.06,-0.14,5358,4.36,0.73,8.489,thin,2.8530895298518657
HD51754,-0.55,0.25,0.22,0.26,-0.03,-0.1,-0.12,0.12,-0.11,0.010000000000000009,0.009999999999999995,-0.22999999999999998,5848,4.49,1.05,12.337,thick,2.6646419755561257
HD52265,0.21,-0.02,0.01,-0.02,-0.02,-0.009999999999999998,-0.08,-0.03,-0.15,0,0.03,-0.020000000000000004,6136,4.36,1.32,2.087,thin,2.462397997898956
HD52449,0.12,-0,0.07,-0.08,-0.1,-0.03,0.07,-0.11,-0.07,-0.08,-0.07,0.11,6362,4.55,1.29,0.612,thin,2.173186268412274
HD52919,-0.09,0.05,-0.12,-0.12,0.04,0.13999999999999999,-0.04,-0.08,0.04,-0.16999999999999998,0.05,0.09,4628,4.43,0.26,5.132,thin,2.6127838567197355
HD5349,0.45,0.02,-0.15,0.05,0.25,0.06,-0.1,0.09,-0.03,0.030000000000000002,0.09000000000000001,-0.09999999999999999,5010,3.76,0.88,7.586,thin,2.060697840353612
HD5388,-0.28,0.11,0.13,-0.03,-0.06,-0.07,0.02,-0.12,0.03,-0.14,-0.05,0.09,6311,4.24,1.65,3.915,thin,2.8674674878590514
HD54521,-0.01,0,0.04,-0.01,-0.1,-0.049999999999999996,0.05,-0.05,0.02,-0.01,-0.030000000000000002,0.07,5973,4.54,1.02,1.718,thin,2.089905111439398
HD55,-0.67,0.2,0.1,0.12,0.08,0.05000000000000002,-0.06,-0,0,-0.08000000000000002,-0.020000000000000004,-0.08,4554,4.54,0.06,5.553,thick,2.584331224367531
HD55693,0.29,0.13,0.11,0.03,0.07,0.33999999999999997,-0.09,-0.01,-0.07,-0.1,0.08,0,5914,4.43,1.07,1.877,thin,2.967079734144497
HD56274,-0.54,0.08,0.09,0.09,-0.06,0,0,-0,0.03,0.009999999999999995,-0.11,-0.11,5734,4.51,0.94,10.290,thin,2.786041210242554
HD56380,-0.42,0.26,0.17,0.23,0.08,0.05000000000000002,-0.11,0.18,-0,-0.03,0.020000000000000004,-0.27,5317,4.35,0.53,12.153,thick,2.4927603890268375
HD564,-0.2,0.04,0.06,0.04,-0.1,-0.07,0.13,-0.04,0.11,0,-0.12000000000000001,0.05,5902,4.53,0.95,3.907,thin,2.603144372620182
HD57568,-0.48,0.12,0.01,0.01,-0.03,0.049999999999999996,-0.04,-0.04,0.02,-0.11,-0.049999999999999996,-0.049999999999999996,4593,4.23,0.24,5.582,thin,2.0043213737826426
HD58489,0.13,0.04,0,0.1,0.09,0.009999999999999995,-0.11,0.12,-0.15,0.060000000000000005,0.05,-0.18,4642,4.13,0.39,5.638,high,2.0791812460476247
HD58676,-0.03,0.05,0.02,-0.02,-0.01,0.09000000000000001,-0.02,0.13,0.12,-0.07,0.03,-0.12000000000000001,5056,4.31,0.61,6.235,thin,1.9030899869919435
HD59468,0.03,0.04,0.01,0.04,0.04,0.019999999999999997,-0.08,0.02,-0.03,0,0,-0.1,5618,4.39,0.88,6.297,thin,3.302114376956201
HD59711A,-0.12,0.02,0.04,0.03,-0.05,-0.019999999999999997,0.03,-0.01,0.05,0.009999999999999998,-0.04,0,5722,4.46,0.86,6.016,thin,2.432969290874406
HD59984,-0.69,0.16,0.17,0.19,-0.14,-0.17,-0.09,-0.04,-0.05,0.03,-0.04000000000000001,-0.09,5962,4.18,1.45,9.522,thin,3.2489536154957075
HD61051,-0.1,0.19,0.08,0.2,0.13,0.03999999999999998,-0.05,0.11,0.08,0.010000000000000009,-0.009999999999999995,-0.16999999999999998,5363,4.37,0.7,10.504,high,2.3521825181113627
HD61383,-0.49,0.31,0.25,0.29,-0.07,-0.019999999999999962,-0.09,0.09,-0.06,-0.020000000000000018,0.06,-0.12,5716,4.2,1.12,12.071,thick,2.6910814921229687
HD61447,0.17,0.01,-0.03,-0.01,0.16,0.12,-0.19,0.09,-0.08,-0.02,0.1,-0.18,5637,4.37,0.89,3.774,thin,2.0253058652647704
HD61902,-0.62,0.16,0.11,0.15,-0.1,-0.13999999999999999,-0.1,-0.06,0.12,-0.010000000000000009,-0.06,-0.1,6209,4.38,1.58,8.043,thin,2.4313637641589874
HD61986,-0.34,0.09,0.09,0.1,-0.04,0,-0.03,0.06,0.01,0.010000000000000009,-0.11000000000000001,-0.2,5725,4.48,0.85,10.386,thin,2.6127838567197355
HD62128,0.33,-0.04,-0.07,-0.01,0.09,-0.01,-0.15,0.01,-0.11,0.03,0.039999999999999994,-0.12,5828,4.22,1.16,4.478,thin,2.621176281775035
