Star,[Fe/H],[TiI/Fe],[CaI/Fe],[MgI/Fe],[CuI/Fe],[Al/Mg],[BaII/Fe],[ZnI/Fe],[CeII/Fe],[Mg/Ti],[Y/Ba],[Y/Zn],Teff,logg,vtur,Age,pop,log_S_N
HD214385,-0.34,0.06,0.05,0.1,-0.03,-0.010000000000000009,-0.02,0.04,-0.08,0.04000000000000001,-0.14,-0.2,5654,4.43,0.81,10.587,thin,2.3521825181113627
HD214759,0.18,0.05,-0.05,0.06,0.13,0,-0.14,-0.04,-0.01,0.009999999999999995,0.06000000000000001,-0.04,5461,4.37,0.85,3.855,thin,2.5289167002776547
HD214867,0.01,0.01,0.05,-0.11,-0.15,0.08,0.19,-0.12,0.18,-0.12,-0.12,0.19,5807,4.66,1.23,1.317,thin,2.0863598306747484
HD214954,0.14,0.06,-0.02,-0.04,0.18,-0.07999999999999999,-0.12,-0.02,0,-0.1,0.06999999999999999,-0.030000000000000002,5738,4.48,0.99,5.296,thin,1.5797835966168101
HD214998,0.09,-0.03,-0.12,0.11,-0.01,-0.08,-0.06,-0,-0.19,0.14,-0.010000000000000009,-0.07,4687,4.2,0.46,6.123,high,1.7634279935629373
HD215152,-0.08,0.07,0,-0.05,0.08,0.14,-0.03,0.11,-0.08,-0.12000000000000001,0.009999999999999998,-0.13,4803,4.26,0.28,6.395,thin,2.4742162640762553
HD215257,-0.63,0.12,0.13,0.15,-0.16,-0.16999999999999998,-0.15,-0.05,-0.09,0.03,-0.010000000000000009,-0.11,6052,4.46,1.4,10.988,thin,2.9894498176666917
HD215456,-0.09,0.02,0.05,0.06,-0.03,-0.03,-0.05,0,-0.03,0.039999999999999994,-0.03,-0.08,5789,4.1,1.19,7.490,thin,3.1702617153949575
HD215625,0.1,0,0.07,-0.01,-0.06,-0.07,-0.03,-0.08,-0.03,-0.01,0.019999999999999997,0.07,6282,4.58,1.35,0.925,thin,2.187520720836463
HD215722,-0.07,0.07,-0.07,-0.13,0.02,0.14,0.05,-0.15,-0.07,-0.2,-0.08,0.12,4621,4.23,0.41,5.214,thin,1.6720978579357175
HD215902,-0.25,0.06,0.07,-0.02,-0.03,-0.030000000000000002,0.17,0.05,0.2,-0.08,-0.06000000000000001,0.06,5454,4.46,0.53,6.605,thin,1.6989700043360187
HD215906,-0.28,0.03,0.13,-0.05,-0.18,-0.15999999999999998,-0.03,-0.12,0.02,-0.08,-0.09,0,6259,4.56,1.55,4.534,thin,2.0681858617461617
HD216008,-0.04,0.01,0.02,0.02,0.02,0.030000000000000002,-0.01,0.03,-0.07,0.01,-0.049999999999999996,-0.09,5773,4.38,0.91,7.341,thin,2.1335389083702174
HD216215,-0.2,0.12,0.11,-0.03,-0.01,0.15,0.07,-0,0.09,-0.15,-0.060000000000000005,0.01,5220,4.45,0.58,5.057,thin,2.012837224705172
HD216435,0.24,-0,-0.01,-0.03,-0.03,0.04,-0.13,-0.01,-0.11,-0.03,0.06,-0.060000000000000005,6008,4.2,1.34,3.366,thin,3.0969100130080562
HD216770,0.24,0.06,-0.03,0.04,0.21,0.1,-0.21,0.09,0.03,-0.019999999999999997,0.12,-0.18,5424,4.38,0.91,4.265,thin,2.7307822756663893
HD216777,-0.38,0.09,0.08,0.11,-0.03,-0.020000000000000004,-0.01,0.03,-0,0.020000000000000004,-0.08,-0.12,5623,4.51,0.81,9.729,thin,2.6384892569546374
HD21693,0,0.04,-0.02,0.01,0.04,0.049999999999999996,-0.05,0.03,0.01,-0.03,0.020000000000000004,-0.06,5430,4.37,0.76,6.781,thin,2.848189116991399
HD217221,0,0.06,0.03,0.01,0.06,0.049999999999999996,-0.01,0,0.09,-0.049999999999999996,0.02,0.01,5116,4.36,0.53,6.879,thin,2.0755469613925306
HD217395,-0.13,0.01,0.06,0.01,-0.1,-0.04,0.12,-0.05,0.05,0,-0.11,0.060000000000000005,5916,4.52,0.95,3.106,thin,2.3820170425748683
HD21749,0.02,0.05,-0.13,-0.11,0.06,0.22999999999999998,-0.14,-0.04,-0.18,-0.16,0.13,0.03,4562,4.24,0.28,5.769,thin,2.866877814337499
HD217786,-0.14,0.04,0.07,0.07,-0,0.12,-0.03,0.03,-0.09,0.030000000000000006,-0.05,-0.11,5966,4.35,1.12,7.375,thin,2.2174839442139063
HD217958,0.28,0.06,-0.01,-0.02,0.09,0.08,-0.23,-0.09,-0.07,-0.08,0.17,0.03,5970,4.45,1.29,2.670,thin,1.6020599913279623
HD218249,-0.43,0.2,0.12,0.12,0.09,0.05000000000000002,-0.05,0.01,-0.04,-0.08000000000000002,-0.039999999999999994,-0.09999999999999999,4956,4.41,0.33,6.923,thin,2.247973266361807
HD218340,0.09,0,0.07,-0.01,-0.09,-0.019999999999999997,0.04,-0.06,-0.04,-0.01,-0.06,0.039999999999999994,5889,4.42,0.97,1.583,thin,2.012837224705172
HD218379,0.15,-0.01,0,0.04,0.04,-0.02,-0.09,0.01,-0.1,0.05,0.039999999999999994,-0.060000000000000005,5938,4.11,1.24,3.972,thin,2.4800069429571505
HD218504,-0.55,0.15,0.15,0.21,-0.08,-0.15,-0.07,0.02,-0.11,0.06,-0.04999999999999999,-0.13999999999999999,5962,4.34,1.21,11.516,thin,2.7450747915820575
HD218511,-0.05,-0.07,-0.19,-0.21,0.08,0.24,-0.11,-0.02,0.01,-0.13999999999999999,0.2,0.11,4424,4.52,0.26,5.131,thin,2.3710678622717363
HD218572,-0.58,0.25,0.18,0.17,0.05,0.03999999999999998,-0.02,-0.06,-0.06,-0.07999999999999999,-0.09,-0.05,4697,4.41,0.33,5.547,thick,2.4608978427565478
HD218750,0.06,0.09,0.02,0.1,0.07,0.03,-0.04,0.1,0.09,0.010000000000000009,0.010000000000000002,-0.13,5063,4.25,0.4,7.659,high,2.2833012287035497
HD218885,-0.28,0.04,0.05,0.08,-0.09,-0.11,0.11,-0.02,0.12,0.04,-0.08,0.05,5763,4.46,0.8,6.812,thin,1.7634279935629373
HD219077,-0.13,0.14,0.05,0.1,0.07,0.07,-0.02,0.04,0.1,-0.04000000000000001,0.02,-0.04,5362,4,0.92,8.652,high,2.513217600067939
HD219249,-0.4,0.09,0.05,0.09,-0.03,-0.03,0.02,0.04,0.03,0,-0.05,-0.07,5482,4.5,0.74,8.595,thin,2.8627275283179747
HD21938,-0.47,0.23,0.2,0.28,-0.01,-0.05000000000000002,-0.08,0.17,-0.1,0.05000000000000002,-0.020000000000000004,-0.27,5778,4.38,0.99,12.494,thick,2.4913616938342726
HD219495,0.32,-0.03,-0.24,-0.3,0.04,0.32,0.01,-0.02,-0.07,-0.27,0.04,0.07,4554,4.24,0.07,4.962,thin,2.089905111439398
HD21977,0.1,0.01,0,-0.04,-0.05,0.04,-0.09,-0,-0.05,-0.05,0.01999999999999999,-0.07,5930,4.45,1.03,2.072,thin,2.037426497940624
HD220256,-0.14,0.22,0.1,0.09,0.12,0.15,-0.07,0.07,0.06,-0.13,0,-0.14,5090,4.32,0.53,8.786,high,2.3961993470957363
HD220339,-0.37,0.14,0.07,-0,0.02,0.1,0.02,0.03,0.11,-0.14,-0.05,-0.06,4938,4.42,0.5,7.019,thin,2.754348335711019
HD220367,-0.21,0.06,0.09,0.09,-0.05,-0.09999999999999999,-0.04,-0.05,-0.05,0.03,-0.10999999999999999,-0.09999999999999999,6128,4.37,1.34,6.003,thin,2.3502480183341627
HD220456,-0.02,0.01,0.05,-0,-0.1,-0.04,0.1,-0.1,0.11,-0.01,-0.07,0.13,5887,4.5,1.01,2.194,thin,2.2329961103921536
HD22049,-0.15,0.07,0.06,-0,-0.01,0.01,0.12,0.03,0.19,-0.07,-0.04999999999999999,0.04000000000000001,5049,4.45,0.83,5.492,thin,2.9489017609702137
HD220507,0.01,0.11,0.05,0.12,0.09,0.04000000000000001,-0.08,0.09,-0.01,0.009999999999999995,-0.03,-0.2,5698,4.29,1.01,9.926,high,2.8603380065709936
HD220894,0.02,0.02,0.07,-0.09,-0.09,-0.010000000000000009,0.05,-0.11,0.05,-0.11,-0.010000000000000002,0.15,6282,4.6,1.35,1.151,thin,2.3961993470957363
HD221146,0.08,0.01,0.06,0.05,0.04,-0.020000000000000004,-0.03,0.02,-0.07,0.04,0.12,0.06999999999999999,5876,4.27,1.09,6.358,thin,2.756636108245848
HD221287,0.04,0.01,0.08,-0.1,-0.14,-0.04999999999999999,0.22,-0.13,0.05,-0.11,-0.18,0.17,6374,4.62,1.29,0.524,thin,2.5809249756756194
HD221343,0.11,-0.01,0.03,-0.03,-0.07,0.1,0.04,-0.09,-0.08,-0.019999999999999997,-0.03,0.09999999999999999,5848,4.54,0.99,1.158,thin,2.089905111439398
HD221356,-0.2,0.1,0.11,0.08,-0.11,-0.12,0.11,-0.13,0.07,-0.020000000000000004,-0.12,0.12000000000000001,6112,4.53,1.12,2.783,thin,2.930949031167523
HD221420,0.33,0.03,0.01,0.1,0.08,0.009999999999999995,-0.15,-0.02,-0.13,0.07,0.09999999999999999,-0.030000000000000002,5847,4.03,1.28,3.695,thin,3.209783014848515
HD221580,-1.13,0.21,0.28,0.25,-0.51,-0.16,-0.02,-0.04,0.1,0.04000000000000001,-0.06,-0.04,5322,2.68,1.97,7.177,halo,2.812244696800369
HD221638,-0.21,0.04,0.08,0.04,-0.13,-0.24000000000000002,0.05,-0.13,-0.01,0,-0.12000000000000001,0.06,6360,4.53,1.43,2.228,thin,2.4183012913197452
HD22177,0.2,0.03,-0.03,0.06,0.12,0.010000000000000009,-0.08,0.02,-0,0.03,-0.020000000000000004,-0.12000000000000001,5666,4.26,1.02,8.100,thin,2.287801729930226
HD221974,0.3,0.02,-0.12,0,0.13,0.05,-0.14,0.04,-0.05,-0.02,0.2,0.019999999999999997,5059,4.23,0.52,6.799,thin,1.4313637641589874
HD222237,-0.39,0.32,0.1,0.14,0.09,0.14,-0.08,0.03,-0.04,-0.18,-0.009999999999999995,-0.12,4722,4.34,0.13,5.947,thick,2.754348335711019
HD222335,-0.2,0.12,0.05,0.03,-0.01,0.03,0.04,-0.03,0.17,-0.09,-0.04,0.03,5271,4.49,0.83,5.150,thin,2.5211380837040362
HD222422,-0.12,0.1,0.11,0.03,-0.07,0.020000000000000004,0.12,-0.09,0.17,-0.07,-0.009999999999999995,0.2,5475,4.46,0.73,4.261,thin,2.6180480967120925
HD22249,-0.06,0.04,0.04,-0.02,-0.16,0,0.24,-0.08,0.23,-0.06,-0.12,0.2,5773,4.63,0.96,1.504,thin,2.0211892990699383
HD222582,-0.01,0.04,0.03,0.05,0.03,0.009999999999999995,-0.04,0.01,-0.03,0.010000000000000002,-0.049999999999999996,-0.09999999999999999,5779,4.37,1,7.461,thin,2.967547976218862
HD222595,0.01,0.02,0.02,-0,-0.02,0,0.01,-0.02,-0.02,-0.02,0,0.03,5648,4.46,0.88,3.086,thin,2.862131379313037
HD222669,0.05,-0.01,0.02,0,-0.09,-0.04,0.01,-0.07,-0.03,0.01,0.01,0.09000000000000001,5894,4.46,1.01,1.862,thin,2.9722028383790646
HD222721,-0.31,0.13,0.07,0.09,0.04,0.03,-0.03,0.1,-0.03,-0.04000000000000001,-0.03,-0.16,5361,4.43,0.52,9.400,thin,1.845098040014257
HD22282,0.12,0.06,-0,0.02,0.04,0.2,-0.12,-0.05,0.08,-0.039999999999999994,0.04999999999999999,-0.020000000000000004,5433,4.32,0.77,6.716,thin,1.7481880270062005
HD223121,0.06,0,-0.09,-0.01,0.05,0.04,-0.07,0.03,-0.08,-0.01,0,-0.1,4958,4.28,0.43,6.715,thin,2
HD223171,0.12,0.01,-0.01,0.05,0.03,-0.020000000000000004,-0.06,0.01,-0.06,0.04,-0.010000000000000009,-0.08,5841,4.2,1.12,5.981,thin,3.198931869932209
HD223272,0.11,0.08,-0.02,0.04,0.11,0.24000000000000002,-0.05,0.1,0,-0.04,-0.03,-0.18,5003,4.29,0.41,6.866,high,2.1367205671564067
HD223282,-0.41,0.11,0.06,0.07,-0.03,0,0.12,0.06,0.16,-0.039999999999999994,-0.07999999999999999,-0.019999999999999997,5328,4.49,0.6,7.650,thin,2.374748346010104
